holding,article_ref,description,system_ref,unit,received,issued,balance
Rasha + 606+Mea 9 miss access,660167,End cap Interlk,MTO for 54 PD stock,PACKET,0.0,10.0,-10.0
"Villa D58, Flame Tree Ridge A",244512,"Gasket cord 4,5","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,10.0,-10.0
"Villa D58, Flame Tree Ridge A",245701,Centre gasket Bk,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,10.0,-10.0
"Villa D58, Flame Tree Ridge A",245703,Rebate gasket Bk,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,10.0,-10.0
"Villa D58, Flame Tree Ridge A",284652,Centre gasket,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,10.0,-10.0
"Villa D58, Flame Tree Ridge A",542100,Inner shell 26,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,10.0,-10.0
"Villa D58, Flame Tree Ridge A",9643176,vent frame inner pr.,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,10.0,-10.0
"Villa 80 - ST3, Esmeralda – A",288191,Surf. activ. PUR,ASE 36 (BALANCE),NO,3.0,12.0,-9.0
"Villa D58, Flame Tree Ridge A",254519,"DOOR STOP,BLACK","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,9.0,-9.0
Stock,238440,END SEAL UN. 1-LF,ADS / AWS 65,NO,4.0,12.0,-8.0
Stock,242500,JNT-SEAL PC 65,ADS / AWS 65,PACKET,0.0,8.0,-8.0
"Villa D58, Flame Tree Ridge A",205827,"Cheese hd scrw ST3,9x15 ISR15","70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,8.0,-8.0
"Villa D58, Flame Tree Ridge A",225945,Ret. catch 90,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,8.0,-8.0
"Villa D58, Flame Tree Ridge A",542120,Outer shell 48,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,8.0,-8.0
Stock,275110,SAFETY CATCH AWS OPEN OUT RH,ADS / AWS 65,NO,0.0,6.0,-6.0
Stock,276692,LOAD SUPPORT T S 130KG OW,ADS / AWS 65,PACKET,0.0,6.0,-6.0
"Villa D58, Flame Tree Ridge A",9626192,inner facing frame,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,6.0,-6.0
"Villa D58, Flame Tree Ridge A",9643189,mullion,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,6.0,-6.0
"Villa D58, Flame Tree Ridge A",244293,Glazg rebate gaskt 9,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,5.0,-5.0
"Villa D58, Flame Tree Ridge A",267990,Seal,"70PD & 90HI, 35PD CW - 7pcs",PACKET,0.0,5.0,-5.0
"Villa D58, Flame Tree Ridge A",9626213,additional profile,"70PD & 90HI, 35PD CW - 7pcs",BAR,0.0,5.0,-5.0
